#Position (bp)	insert size
8.041825355E8	165.99837612341463
8.124305615E8	166.54028941720918
8.206785875E8	166.74626009700904
8.289266135E8	167.53034980165884
8.371746395E8	339.20054177866564
8.454226655E8	504.40157073936945
8.536706915E8	166.16838451038768
8.619187175E8	166.59332748309933
8.69333434E8	166.9697429769228
8.72724992E8	166.32355478861086
8.72931433E8	175.0603377265239
8.731340445E8	165.7421052631579
8.73326804E8	165.28
8.73441596E8	158.8
8.73480431E8	163.231007751938
8.735866135E8	164.89709172259506
8.73694888E8	158.40068493150685
8.74003757E8	0.0
8.784147695E8	19.0
8.866627955E8	151.36144578313252
8.949108215E8	541.3285663401603
9.031588475E8	1301.605649014859
9.114068735E8	167.45953809475384
9.196548995E8	722.1314573343217
9.279029255E8	418.4013065207397
9.361509515E8	167.25588912479623
9.443989775E8	167.05903070588818
9.526470035E8	167.21723647887094
9.608950295E8	167.138216859353
9.691430555E8	165.39133950525604
9.744875075E8	167.07177663912998
9.759320705E8	166.85882931628134
9.788356445E8	216.61519442571364
9.856391075E8	811.4969874100719
9.938871335E8	1373.409045277682
1.0021351595E9	175.02284699158105
1.0103831855E9	2153.9661912950096
1.0186312115E9	165.36094594594596
1.0268792375E9	451.5162675689745
1.0351272635E9	167.03244150932747
1.0433752895E9	167.46542900358452
1.0516233155E9	166.94491391107366
1.0598713415E9	166.18038619529707
1.065244947E9	166.20798764851506
1.067430919E9	164.30698809887093
1.0703053395E9	5325.432743234419
1.0763673935E9	246.84226532614164
1.0846154195E9	240.1166744697309
1.0928634455E9	1032.7983436648879
1.1011114715E9	480.53208549749877
1.1093594975E9	167.43116612943786
1.1176075235E9	318.07718113951324
1.1258555495E9	172.92279009878413
1.1341035755E9	174.62757401470864
1.1423516015E9	166.6805594327508
1.149050177E9	166.23227322352494
1.151717535E9	165.6938053097345
1.15195075E9	120.35667215815486
1.152147445E9	131.13311688311688
1.1534636805E9	166.53517156862745
1.1588476535E9	167.00876096236627
1.1670956795E9	166.42793554447576
1.1753437055E9	167.06250884199758
1.1835917315E9	166.71730110273504
1.1918397575E9	164.91714790553354
1.2000877835E9	166.37023288527664
1.2083358095E9	166.43631877621516
1.2165838355E9	166.12797309691226
1.2248318615E9	165.19389094174122
1.23076644E9	164.95341575161893
1.234890453E9	392.7563590071075
1.2413279135E9	258.64842470138876
1.2495759395E9	397.055501476362
1.2578239655E9	166.8179798449162
1.2660719915E9	178.87456417844447
1.2743200175E9	169.64329919465706
1.2825680435E9	182.21771978936067
1.288943339E9	168.0364309511647
1.291282149E9	159.5735607675906
1.2913856925E9	161.3305785123967
1.2914655495E9	171.7634130575307
1.2915628205E9	154.5491651205937
1.2916163385E9	157.97674418604652
1.2916575315E9	174.5449101796407
1.291766658E9	165.30098779779198
1.291875052E9	167.62928921568627
1.291916283E9	162.30882352941177
1.293438612E9	6620.664845368188
1.2990640955E9	2978.5110681417145
1.3073121215E9	873.0857799984138
1.3155601475E9	3229.7659436694403
1.3238081735E9	85268.61239678207
1.3320561995E9	166.65428645919746
1.3403042255E9	4649.920505518875
1.3485522515E9	3006.825040215939
1.3568002775E9	1500.939033324567
1.3650483035E9	167.6038857536725
1.3732963295E9	2866.2491126233012
1.3815443555E9	254.09456182534404
1.3897923815E9	404.59845724766956
1.3980404075E9	986.3728159402937
1.4062884335E9	201.01476327662118
1.4145364595E9	165.65027238074663
1.4227844855E9	799.0135918448931
1.4310325115E9	166.63125673225073
1.4392805375E9	165.43795749011625
1.4475285635E9	167.1654677013423
1.4557765895E9	167.71932170057877
1.4640246155E9	1025.5322371527284
1.4722726415E9	168.32200482336202
1.4805206675E9	178.74491703545664
1.4887686935E9	166.91456738400407
1.4970167195E9	167.29964709203838
1.5052647455E9	166.90884186963706
1.5135127715E9	166.8961482203803
1.5217607975E9	167.557857105909
1.5300077405E9	166.50741678726484
1.5341317535E9	0.0
1.5382568495E9	166.57491737736572
1.5465048755E9	820.4959090909091
1.5547529015E9	463.89408572035614
1.5630009275E9	421.2519258500304
1.5712489535E9	167.0716164992253
1.5794969795E9	167.14017321926468
1.5877450055E9	202.7013567497602
1.595221928E9	165.88600283782657
1.599345941E9	0.0
1.6042410575E9	989.9589092579446
1.6124890835E9	686.201520531183
1.6207371095E9	163.29842532736615
1.6289851355E9	167.12408260056776
1.6372331615E9	166.6706236617715
1.6433209975E9	166.4758570953967
1.6474450105E9	19.0
1.6537292135E9	164.63233675715333
1.6619772395E9	169.32119033554727
1.6702252655E9	184.09869274099267
1.6784732915E9	244.8583447032108
1.6867213175E9	166.75144562043374
1.6934743095E9	165.74272388582312
1.6961786655E9	167.93406593406593
1.696274814E9	164.3848009650181
1.6963854715E9	162.1053740063863
1.6965578825E9	166.88980944490473
1.696661813E9	143.52669039145908
1.6967741785E9	433.93659420289856
1.6969170575E9	118.03529411764706
1.697018664E9	148.82608695652175
1.697105344E9	142.82142857142858
1.697223072E9	148.28358208955223
1.697380707E9	156.22105263157894
1.6982754815E9	166.86635692812243
1.7032173695E9	1740.8509034709798
1.7114653955E9	182.0030232543791
1.7197134215E9	165.86732275941142
1.7279614475E9	4042.8249560074623
1.7362094735E9	1144.5924956425695
1.7444574995E9	512.2063185333009
1.7527055255E9	440.07629449872695
1.7609535515E9	166.51750211340368
1.7692015775E9	2019.3795144784544
1.7774496035E9	163.4385109378756
1.7856976295E9	1726.6463327705872
1.7939456555E9	167.29371375341807
1.8021936815E9	166.9150509223078
1.8104417075E9	167.1325501148518
1.8186897335E9	167.65406022807622
1.8269377595E9	167.36113445017918
1.8351857855E9	167.20307808482713
1.8434338115E9	251.64206542308733
1.8516818375E9	478.5807162006894
1.8599298635E9	165.1289621126043
1.8681778895E9	166.8596627481437
1.8764259155E9	165.72779145792646
1.8846739415E9	167.33106873236162
1.89227556E9	166.9306788304424
1.895830864E9	163.9967069154775
1.8964772715E9	167.04106875698
1.9011699935E9	1518.1853877387339
1.9094180195E9	166.07301103717361
1.9176660455E9	166.07930572866178
1.9259140715E9	162.90956688869005
1.9341620975E9	187.30724870981487
1.9424101235E9	171.57490581270184
1.9506581495E9	166.44943727535207
1.9589061755E9	4894.244719110413
1.9671542015E9	167.62116803491634
1.9754022275E9	987.0674677631841
1.9836502535E9	788.9746991915305
1.9918982795E9	1005.9518414431382
2.0001463055E9	166.2784358904852
2.0083943315E9	167.05840023720464
2.0166423575E9	166.87962352941176
2.0248903835E9	165.43179117708078
2.0331384095E9	165.85566896956146
2.0413864355E9	166.9651592969523
2.0496344615E9	166.665364006731
2.0578824875E9	166.43654863002723
2.0661305135E9	166.05084775358395
2.0743785395E9	164.0508783937942
2.082312835E9	166.9870531019979
2.086227972E9	157.60042060988434
2.0865417025E9	165.0267795438839
2.0908745915E9	1598.3103590093388
2.0991226175E9	166.23483776407562
2.1073706435E9	7663.552532008408
2.1156186695E9	3104.832356012531
2.1238666955E9	695.3756309580335
2.1321147215E9	175.83931688804554
2.1403627475E9	166.419106470984
2.1486107735E9	455.94202447344196
2.1568587995E9	166.50152720842377
2.1651068255E9	167.1413299205297
2.1733548515E9	525.8066356933643
2.1816028775E9	480.4756671490216
2.1898509035E9	173.70817861266266
2.1980989295E9	651.3873177787082
2.2063469555E9	165.5793186425593
2.2145949815E9	166.67734645827665
