#Position (bp)	insert size
2.922607307E9	183.04706684856754
2.922990831E9	184.45814415437005
2.9232848535E9	184.2284263959391
2.9248217345E9	187.18522670216367
2.926399337E9	188.23793250747545
2.926573575E9	189.44543147208122
2.926675323E9	187.44638242894058
2.9273955645E9	182.46254426586762
2.9283065605E9	185.1881096999816
2.928675888E9	179.61867704280155
2.928905799E9	178.5366568914956
2.929078094E9	184.2831168831169
2.929177585E9	181.12320916905443
2.929312155E9	184.26150319305714
2.929457484E9	181.83333333333334
2.929658268E9	189.4560546875
2.929885578E9	187.6812749003984
2.9300671115E9	188.2859712230216
2.9302185265E9	168.94285714285715
2.9303547775E9	176.17845117845118
2.930518526E9	182.75477278838397
2.930682299E9	182.9642375168691
2.9307971655E9	180.4721295855169
2.930854517E9	179.55981391227292
2.93107383E9	190.14394969408565
2.9313517695E9	190.42057761732852
2.9315308925E9	192.25236486486486
2.9317028365E9	183.52214452214452
2.9318023465E9	181.86072607260726
2.9319408055E9	188.37873754152824
2.9325515445E9	187.0205661603924
2.9331095955E9	180.5
2.9332331755E9	185.42616158626814
2.933321893E9	181.62585391487124
2.93344294E9	183.99108129439622
2.933566615E9	182.89772727272728
2.933681945E9	179.83798882681563
2.9338372665E9	183.76638655462185
2.934009815E9	176.17916666666667
2.93414774E9	187.94174757281553
2.934243411E9	190.1748203106886
2.9343431015E9	183.91192504258944
2.9345144045E9	188.18023780854907
2.9347374925E9	182.86848
2.934982691E9	184.96191735255235
2.9352665915E9	185.83181914219313
2.93544909E9	183.3175214942188
2.9355482175E9	185.95803642121933
2.935678085E9	185.57035775127767
2.935901925E9	179.9128256513026
2.9361164625E9	188.53318824809577
2.936242911E9	192.0424778761062
2.9363673145E9	193.95322376738307
2.936522572E9	188.98387096774192
2.936686298E9	191.94082840236686
2.936850338E9	192.60202788339672
2.937037971E9	187.4277726001864
2.9372448465E9	188.89871944121072
2.9374273685E9	192.48333333333332
2.9375904835E9	190.2866323907455
2.937768082E9	189.01761006289308
2.9379456715E9	188.4920174165457
2.9381121175E9	189.2086230876217
2.9383003025E9	185.2948312236287
2.9384879905E9	180.01986754966887
2.9386500475E9	186.58259811378156
2.938920769E9	183.8074473297403
2.9396822515E9	189.0871359223301
2.940319939E9	187.17882504841833
2.94246535E9	187.20966082000774
2.9448629825E9	185.7251471418205
2.945276117E9	181.5794701986755
2.945440031E9	177.15686274509804
2.945667854E9	183.31955411054344
2.945880553E9	185.9846412287017
2.946041221E9	184.23070504797664
2.946434708E9	193.7371114582772
2.9468190745E9	186.96142719382834
2.9494979735E9	187.62710385238748
2.952147541E9	182.25881057268722
2.952294951E9	181.58250497017892
2.9525364005E9	186.36523994811932
2.9527433355E9	179.08670520231215
2.9527903395E9	183.0
2.9535019345E9	187.99900725941552
2.954297591E9	182.74774774774775
2.9544634765E9	179.74303842086712
2.9549070915E9	185.1223908918406
2.955308858E9	186.2962962962963
2.955482869E9	184.20467502850627
2.9557224705E9	185.0579268292683
2.9559104E9	188.2897091722595
2.9560879905E9	186.14831981460023
2.9562757145E9	188.07377979568673
2.956432736E9	191.7550561797753
2.956579642E9	191.01949025487255
2.956763995E9	187.73375
2.9570041095E9	193.25918367346938
2.957239189E9	190.60665362035226
2.9574278325E9	189.77763819095478
2.9576057785E9	186.25409836065575
