#Coverage	Number of genomic locations
240.0	145901.0
241.0	144418.0
242.0	144166.0
243.0	142618.0
244.0	142236.0
245.0	141769.0
246.0	140779.0
247.0	140059.0
248.0	139853.0
249.0	140239.0
250.0	139184.0
251.0	138024.0
252.0	137724.0
253.0	136756.0
254.0	135765.0
255.0	135432.0
256.0	134553.0
257.0	133248.0
258.0	133033.0
259.0	132314.0
260.0	132382.0
261.0	131721.0
262.0	130618.0
263.0	129194.0
264.0	127972.0
265.0	127847.0
266.0	126989.0
267.0	125910.0
268.0	125938.0
269.0	125049.0
270.0	124133.0
271.0	123276.0
272.0	123325.0
273.0	122329.0
274.0	121910.0
275.0	120352.0
276.0	119821.0
277.0	119289.0
278.0	118449.0
279.0	118018.0
280.0	117656.0
281.0	116723.0
282.0	115400.0
283.0	114682.0
284.0	114383.0
285.0	113469.0
286.0	113101.0
287.0	112499.0
288.0	111572.0
289.0	111031.0
290.0	110877.0
291.0	110309.0
292.0	109385.0
293.0	108513.0
294.0	108012.0
295.0	107200.0
296.0	106311.0
297.0	105680.0
298.0	105278.0
299.0	104204.0
300.0	103956.0
301.0	103260.0
302.0	103117.0
303.0	101797.0
304.0	101250.0
305.0	100578.0
306.0	99873.0
307.0	99387.0
308.0	98812.0
309.0	98133.0
310.0	97738.0
311.0	96409.0
312.0	96778.0
313.0	95596.0
314.0	95099.0
315.0	93896.0
316.0	93699.0
317.0	93776.0
318.0	92301.0
319.0	91340.0
320.0	90982.0
321.0	91361.0
322.0	89867.0
323.0	89744.0
324.0	89418.0
325.0	89140.0
326.0	88291.0
327.0	87455.0
328.0	87286.0
329.0	86577.0
330.0	85808.0
331.0	85485.0
332.0	85179.0
333.0	84883.0
334.0	84156.0
335.0	83627.0
336.0	82937.0
337.0	81953.0
338.0	81839.0
339.0	81105.0
340.0	80647.0
341.0	80729.0
342.0	79619.0
343.0	78899.0
344.0	78268.0
345.0	77959.0
346.0	77149.0
347.0	76876.0
348.0	76150.0
349.0	75150.0
350.0	74592.0
351.0	74500.0
352.0	73926.0
353.0	73960.0
354.0	72862.0
355.0	72644.0
356.0	71962.0
357.0	71660.0
358.0	71364.0
359.0	70765.0
360.0	70349.0
361.0	69878.0
362.0	68616.0
363.0	68539.0
364.0	68161.0
365.0	67625.0
366.0	67284.0
367.0	66227.0
368.0	66094.0
369.0	65725.0
370.0	65612.0
371.0	64980.0
372.0	65036.0
373.0	64083.0
374.0	63931.0
375.0	62855.0
376.0	62296.0
377.0	61751.0
378.0	61056.0
379.0	61826.0
380.0	60830.0
381.0	60933.0
382.0	59830.0
383.0	59996.0
384.0	59957.0
385.0	58566.0
386.0	59089.0
387.0	58857.0
388.0	58233.0
389.0	57401.0
390.0	57102.0
391.0	56228.0
392.0	55991.0
393.0	55327.0
394.0	54898.0
395.0	55084.0
396.0	54306.0
397.0	54288.0
398.0	53819.0
399.0	53351.0
400.0	52776.0
401.0	52705.0
402.0	52030.0
403.0	51560.0
404.0	51197.0
405.0	50867.0
406.0	50900.0
407.0	50156.0
408.0	49872.0
409.0	49675.0
410.0	49335.0
411.0	49038.0
412.0	48832.0
413.0	48244.0
414.0	47784.0
415.0	47271.0
416.0	47457.0
417.0	47000.0
418.0	46469.0
419.0	46136.0
420.0	45739.0
421.0	45411.0
422.0	45437.0
423.0	45265.0
424.0	44671.0
425.0	44621.0
426.0	43811.0
427.0	43710.0
428.0	43683.0
429.0	42911.0
430.0	42619.0
431.0	42082.0
432.0	42536.0
433.0	41727.0
434.0	41280.0
435.0	40742.0
436.0	41046.0
437.0	40639.0
438.0	40461.0
439.0	39839.0
440.0	39557.0
441.0	39514.0
442.0	38799.0
443.0	38616.0
444.0	38238.0
445.0	38323.0
446.0	38115.0
447.0	37759.0
448.0	37400.0
449.0	37507.0
450.0	37007.0
451.0	36612.0
452.0	36452.0
453.0	36459.0
454.0	35769.0
455.0	35789.0
456.0	35667.0
457.0	35247.0
458.0	34997.0
459.0	34606.0
460.0	34547.0
461.0	34012.0
462.0	33943.0
463.0	33780.0
464.0	33306.0
