#Position (bp)	mapping quality
2.2145949815E9	59.77957892932707
2.2228430075E9	59.17867217507459
2.2310910335E9	50.68280446601548
2.2393390595E9	59.85033934386125
2.2475870855E9	59.66603723645888
2.2558351115E9	59.76192460799923
2.263915105E9	53.68023533379775
2.26791743E9	40.90547576815243
2.2680854625E9	50.43074721915811
2.2723311635E9	59.17208989786263
2.2805791895E9	56.69730681807608
2.2888272155E9	59.715576535700094
2.2970752415E9	34.833578967610784
2.3053232675E9	58.14549862800453
2.3135712935E9	59.90272238550956
2.3218193195E9	59.59633892546723
2.3300673455E9	52.724339275995284
2.3383153715E9	59.55684404757805
2.3465633975E9	55.7917622743634
2.3548114235E9	58.03417059936687
2.3630594495E9	59.62688205550122
2.3713074755E9	59.79958275719423
2.3795555015E9	59.284873310562574
2.3878035275E9	59.733121793538054
2.3960515535E9	55.805712461173634
2.4042995795E9	59.18245864014286
2.4125476055E9	59.85705170943303
2.4207956315E9	59.4263963093686
2.4290436575E9	58.17013720916948
2.435968712E9	53.05348222804925
2.440092725E9	58.80052036929074
2.4455397095E9	53.71555757100356
2.4537877355E9	59.82564206945995
2.4620357615E9	59.428825352025996
2.4702837875E9	58.672605557683895
2.4785318135E9	59.36901258944566
2.4867798395E9	59.25691420959393
2.4950278655E9	53.064247147603346
2.5032758915E9	53.52282592022997
2.5115239175E9	50.84108193870324
2.5197719435E9	58.11610900328564
2.5280199695E9	59.61278463278023
2.5362679955E9	57.73548623413911
2.5445160215E9	53.95819665043596
2.5527640475E9	59.78047061621303
2.5610120735E9	59.77983444612263
2.5692600995E9	59.10444600560525
2.5775081255E9	51.427625271142055
2.5857561515E9	49.196108100075854
2.5939979455E9	57.79099121435113
2.5981219585E9	0.0
2.6022522035E9	31.1385566682239
2.6105002295E9	20.036754959910255
2.6187482555E9	59.790258005432975
2.6269962815E9	59.782396640410674
2.6352443075E9	57.36599296623228
2.6434923335E9	59.29090106754321
2.6517403595E9	59.64368588295603
2.6599883855E9	59.66381706964604
2.6682364115E9	59.61303050767807
2.6764844375E9	59.60758772006963
2.6847324635E9	53.87887242128598
2.6929804895E9	59.83242174546944
2.7012285155E9	59.77530510663561
2.7094765415E9	59.78311234478495
2.7177245675E9	59.86293084801054
2.7259725935E9	54.911629940346224
2.7342206195E9	59.834664803520525
2.7407994975E9	48.37847071084412
2.7449235105E9	59.23661335421037
2.7507166715E9	59.28722512333031
2.7589646975E9	59.521801806825
2.7672127235E9	58.39041720158778
2.7754607495E9	58.65160912626415
2.7837087755E9	47.335068256096704
2.7919568015E9	2.226360463271458
2.8002048275E9	8.527206939156308
2.8084528535E9	37.169050005967385
2.8167008795E9	58.30592215056873
2.8249489055E9	53.465952569852426
2.8331969315E9	53.53276932148854
2.8414449575E9	57.89124795570843
2.8496929835E9	59.161623918480196
2.8579410095E9	58.832954308878726
2.8661890355E9	59.708877269268875
2.8744370615E9	57.63396612648937
2.880105077E9	58.57418344067234
2.8816691105E9	8.814095469313434
2.8817081685E9	2.4185745986163685
2.881815618E9	35.70767298838938
2.8819235655E9	37.93501836414195
2.8821203125E9	0.6501422329025268
2.88242567E9	2.7407872203093806
2.8826085695E9	9.656412778891873
2.882755976E9	10.422338568935428
2.882939838E9	0.0036641908523362314
2.8830861915E9	0.0013770986338374836
2.8833246155E9	0.0035166654738116748
2.8835330345E9	22.347554781599186
2.8840139925E9	0.09721422343391635
2.884682622E9	0.27425882135202617
2.8849783395E9	0.029228737540406557
2.8851293765E9	11.800002656536408
2.88523294E9	0.5967050131402787
2.885380196E9	6.42898947315637
2.8855523165E9	0.3702705882553546
2.8856843195E9	2.578560444884461
2.885822535E9	9.366943872773051
2.885958065E9	4.98698916329789
2.886082272E9	7.0625765618619845
2.886192519E9	4.631438008365359
2.886295634E9	0.10325193639014577
2.88640561E9	0.0920331827939445
2.8865546035E9	0.09460660302219803
2.8867224755E9	0.9851222329366636
2.8868061825E9	0.0
2.886892758E9	4.642668584722506
2.887031009E9	12.163910301331464
2.8871976565E9	2.8838975347828235
2.887400046E9	2.5080012489754497
2.887577206E9	0.2188562896522728
2.8877881565E9	0.0
2.8879687995E9	2.3935889012819143
2.8881279725E9	6.202573326837144
2.888311843E9	0.8244825072886297
2.8884852595E9	8.214152874965674
2.8886875845E9	0.29655434839657796
2.888985801E9	0.0
2.889229866E9	6.726161780368855
2.8895790755E9	3.3555997681653613
2.889951796E9	8.33526606904444
2.8901135465E9	0.7917356069011607
2.8902557705E9	10.672749512380575
2.8904186985E9	0.0
2.8906437185E9	0.6312737127371274
2.8908288345E9	0.0018282953925404513
2.890981424E9	7.7302545487821615
2.8911688005E9	0.9204546334696224
2.8913080195E9	0.8978516750349823
2.8914628095E9	8.468308154578082
2.8916585145E9	0.13265129782601182
2.8925472575E9	0.352871629723526
2.893404342E9	10.54773481165084
2.8935413165E9	0.0
2.8937144E9	4.495738039498169
2.8938670755E9	8.590794413336727
2.894495074E9	0.020564560697934622
2.896831261E9	0.1712250818424222
2.8986932995E9	0.17707463683419603
2.8988572775E9	7.819379879947646
2.8989957195E9	30.24645414791812
2.8994933275E9	0.37818615827828284
2.89996607E9	2.7465489717344354
2.900096484E9	0.5595933974768521
2.9002881635E9	0.017018135719736618
2.9005228225E9	0.059366189667586625
2.9007376895E9	3.3403557014236926
2.9009214585E9	4.36004281181595
2.9011053345E9	0.415225103703735
2.901244009E9	0.0
2.9018593855E9	7.748982273410115
2.902550898E9	5.574539694190171
2.9027498425E9	0.3975901076446673
2.9029180535E9	9.868021112703136
2.9030958505E9	0.8412637315639625
2.903236903E9	1.0098664420647334
2.903378271E9	0.05099817663284866
2.9035976075E9	1.5555286672480628
2.9042365785E9	3.084032850499292
2.9048794465E9	5.782750613290444
2.9053418075E9	3.091123411806063
2.9057249595E9	0.0
2.905983073E9	0.8894072080191954
2.906237048E9	1.1260561957230653
2.9063221355E9	8.045285369000133
2.906419947E9	0.12042837854424941
2.906652359E9	0.2825526661343838
2.9068714015E9	0.4698711985172685
2.9070190175E9	0.0
2.907136287E9	0.0
2.9072577055E9	1.141040180828132
2.9073733645E9	16.05602572311461
2.9076229215E9	0.630564136324505
2.9079320895E9	2.49744304672978
2.9081124645E9	0.7605914069357292
2.9083581135E9	0.11229194938263591
2.908607172E9	0.0014456254612686505
2.908806396E9	6.537624438450268
2.9090000085E9	0.0
2.909237002E9	3.6319037405429824
2.909487479E9	4.9673966401814145
2.909666712E9	2.6289531907509436
2.9098444145E9	11.727295407717008
2.910040618E9	17.37584675706988
2.910170176E9	11.614626692660309
2.910297114E9	2.2378507119812165
2.910473855E9	1.3798569417247908
2.910761647E9	0.003944674743341192
2.9109858275E9	0.6696573826036964
2.9110662745E9	2.9956027425000724
2.911245746E9	2.4579573723137806
2.9114494045E9	2.4632851233104236
2.911543586E9	0.0
2.9116129135E9	0.0
2.9117490855E9	0.04203410024279951
2.9118852715E9	0.0032335800526225194
2.91203718E9	0.29202356427771153
2.91216737E9	2.0322045923094256
2.9122334675E9	2.290417809884347
2.9123573765E9	0.7531762821662065
2.9125433715E9	1.5749505812747957
2.9126854405E9	3.865248802662554
2.9128219235E9	7.71233910844374
2.913059947E9	5.677857480155607E-4
2.913232047E9	0.6585122869160948
2.9134117735E9	1.5598162658050552
2.914328412E9	0.0703391589475105
2.915174319E9	6.946661236764614
2.915940367E9	2.245270404808335
2.916855563E9	0.0
2.9172265895E9	0.6985607241377062
2.9175218075E9	3.348406362175432
2.917833762E9	0.038574391197151864
2.918104484E9	2.7550038823224914
2.918421329E9	1.4800794602853884
2.9188311555E9	0.6725877179482445
2.919113692E9	3.5554430088405264
2.9192127795E9	2.2381737375868753
2.919361199E9	0.8401743889610095
2.919639416E9	0.2897667625932635
2.920969266E9	3.2434003167358423
2.9222335585E9	5.406962740118568
2.9223746255E9	0.8840684864279429
2.922607307E9	4.969441010617581
2.922990831E9	0.7458518815446177
2.9232848535E9	0.8330334821363202
2.9248217345E9	1.6364165030213966
2.926399337E9	4.967184216137188
2.926573575E9	0.22307955619620073
2.926675323E9	0.004033124329642825
